DateTime,Temp 1,Temp 2,Temp 3,Temp_ambient 1,Temp_ambient 2,Humetat 1,Humetat 2,lux,PH
12/4/2018 14:24:29,"47,75","23,81","25,44",33,"34,2","16,1","27,2",54612,"7,17"
12/4/2018 14:39:38,"48,56",24,"25,44","31,4","34,7","16,6","26,5",54612,"7,18"
12/4/2018 14:54:47,"48,75","24,19","25,44","31,9","35,1",16,"25,6",54612,"7,18"
12/4/2018 15:9:57,"48,75","24,44","25,37","32,9","35,2","15,2","25,6",54612,"7,17"
12/4/2018 15:25:6,"48,88","24,69","25,37","31,5","35,3","16,4","24,8",54612,"7,17"
12/4/2018 15:40:15,"49,31","24,94","25,37","32,1","35,2","15,6","24,5",54612,"7,16"
12/4/2018 15:55:24,"49,06","25,12","25,37","32,4","35,5","15,5","24,8",54612,"7,17"
12/4/2018 16:10:33,"48,81","25,44","25,37","31,9","35,7",16,"24,1",54612,"7,17"
12/4/2018 16:25:42,"48,38","25,69","25,31","32,3","35,8","15,2","23,5",54612,"7,17"
12/4/2018 16:40:51,"46,63","25,94","25,37","32,9","35,8","14,7","23,3",54612,"7,16"
12/4/2018 16:56:0,"42,88","26,19","25,37","33,9","36,2",14,"24,2",54612,"7,16"
12/4/2018 17:11:10,"43,88","26,44","25,37","33,5","36,2","13,8",24,54612,"7,16"
12/4/2018 17:26:19,"42,63","26,69","25,37","32,5","36,3","14,1","23,2",54612,"7,17"
12/4/2018 17:41:28,"42,75","26,94","25,37","33,4","36,3","13,8","24,3",54612,"7,17"
12/4/2018 17:56:37,"43,38","27,12","25,44","32,8","36,3","13,2","23,2",54612,"7,17"
12/4/2018 18:11:46,"42,44","27,37","25,44",33,"36,5","13,9","23,4",54612,"7,16"
12/4/2018 18:26:55,"41,25","27,56","25,44","32,7","36,5",13,"22,2",54612,"7,16"
12/4/2018 18:42:5,"40,25","27,75","25,5","32,3","36,6","13,1","22,1",53164,"7,16"
12/4/2018 18:57:14,"37,75","27,94","25,5","31,7","36,6","13,7","22,2",42443,"7,16"
12/4/2018 19:12:23,"34,63","28,12","25,56","31,8","36,5","13,3","21,9",32502,"7,16"
12/4/2018 19:27:32,"34,56","28,25","25,56","31,3","36,2","13,2","20,9",23646,"7,15"
12/4/2018 19:42:41,"33,88","28,37","25,62","30,8","35,9","13,1","21,1",16024,"7,15"
12/4/2018 19:57:50,"32,19","28,5","25,62",30,"35,7","13,1","19,4",6928,"7,15"
12/4/2018 20:13:0,"30,12","28,62","25,69","28,6",35,"14,5","19,2",4902,"7,15"
12/4/2018 20:28:9,"28,75","28,69","25,75","27,7","34,2","13,7",19,3164,"7,14"
12/4/2018 20:43:18,"27,69","28,75","25,75","27,2","33,4","14,9","18,9",1245,"7,15"
12/4/2018 20:58:27,"26,81","28,81","25,81","26,5","32,8","15,6","18,4",140,"7,15"
12/4/2018 21:13:36,26,"28,81","25,81",26,"32,3","16,3","18,5",1,"7,15"
12/4/2018 21:28:45,"25,31","28,87","25,87","25,3","31,8","17,1","18,9",0,"7,15"
12/4/2018 21:43:54,"24,69","28,87","25,94","24,7","31,5","18,7","19,2",0,"7,16"
12/4/2018 21:59:3,"24,19","28,81","25,94","24,2","31,2","19,2","19,1",0,"7,16"
12/4/2018 22:14:12,"23,69","28,81",26,"23,9","30,9","20,5",19,0,"7,16"
12/4/2018 22:29:21,"23,19","28,75","26,06","23,5","30,7",22,"19,4",0,"7,15"
12/4/2018 22:44:30,"22,75","28,69","26,06","22,8","30,5","22,6","19,6",0,"7,16"
12/4/2018 22:59:39,"22,44","28,69","26,12","22,6","30,3","23,4","19,4",0,"7,18"
12/4/2018 23:14:48,"22,12","28,56","26,12","22,4","29,9",26,"19,5",0,"7,18"
12/4/2018 23:29:57,"21,75","28,5","26,19",22,"29,6","27,1","19,8",0,"7,17"
12/4/2018 23:45:7,"21,44","28,44","26,19","21,7","29,3","28,7","20,1",0,"7,18"
13/4/2018 0:0:16,"21,06","28,31","26,25","21,1","28,8","30,9","20,5",0,"7,18"
13/4/2018 0:15:25,"20,69","28,19","26,25","20,6","28,4","33,7",21,0,"7,18"
13/4/2018 0:30:34,"20,31","28,12","26,31","20,1","27,9","36,1","21,6",0,"7,18"
13/4/2018 0:45:43,"19,94",28,"26,31","19,7","27,6","37,6",22,0,"7,2"
13/4/2018 1:0:52,"19,56","27,94","26,31","19,2","26,6","39,1",23,0,"7,21"
13/4/2018 1:16:1,"19,19","27,81","26,37","18,8","25,9","39,4","24,1",0,"7,21"
13/4/2018 1:31:10,"18,81","27,69","26,37","18,5","25,2","40,4","24,8",0,"7,22"
13/4/2018 1:46:19,"18,5","27,56","26,37","18,1","24,9","41,6","24,8",0,"7,22"
13/4/2018 2:1:28,"18,06","27,5","26,37","17,5","24,5","43,5","25,2",0,"7,22"
13/4/2018 2:16:37,"17,75","27,37","26,37",17,"24,5","46,4","25,1",0,"7,21"
13/4/2018 2:31:46,"17,5","27,25","26,44","16,6","24,4","48,4","25,5",0,"7,22"
13/4/2018 2:46:55,"17,25","27,12","26,44","16,4","24,1","50,2","26,2",0,"7,22"
13/4/2018 3:2:4,"17,06",27,"26,44","16,3","23,6","50,5","27,1",0,"7,23"
13/4/2018 3:17:12,"16,81","26,87","26,44",16,"23,3","52,3","27,5",0,"7,23"
13/4/2018 3:32:21,"16,62","26,75","26,44","15,8","22,9",53,"28,4",0,"7,23"
13/4/2018 3:47:30,"16,44","26,62","26,44","15,7","22,8","53,3","28,7",0,"7,23"
13/4/2018 4:2:39,"16,25","26,5","26,44","15,7","22,5","53,5",29,0,"7,24"
13/4/2018 4:17:48,"16,06","26,44","26,44","15,6","22,3","54,3","29,9",0,"7,23"
13/4/2018 4:32:57,"15,81","26,31","26,44","15,3","22,1","55,6","29,9",0,"7,23"
13/4/2018 4:48:6,"15,56","26,19","26,37",15,"22,1","57,5",30,0,"7,24"
13/4/2018 5:3:15,"15,31","26,06","26,37","14,8","22,3","58,5","29,5",0,"7,23"
13/4/2018 5:18:24,"15,19","25,94","26,37","14,6","22,2","60,3","29,9",0,"7,23"
13/4/2018 5:33:33,"15,06","25,81","26,37","14,7",22,61,"30,5",0,"7,24"
13/4/2018 5:48:42,15,"25,69","26,37","14,6","21,9","62,8","30,9",0,"7,23"
13/4/2018 6:3:51,"14,94","25,56","26,31","14,6","21,7","63,5","31,6",0,"7,24"
13/4/2018 6:19:0,"14,88","25,44","26,31","14,8","21,7","64,1","33,3",0,"7,24"
13/4/2018 6:34:9,"14,81","25,31","26,31","14,7","21,6","65,3","33,7",0,"7,24"
13/4/2018 6:49:18,"14,69","25,25","26,31","14,4","21,6","67,5","33,1",0,"7,24"
13/4/2018 7:4:26,"14,56","25,12","26,25","14,3","21,6","68,9","33,2",0,"7,24"
13/4/2018 7:19:35,"14,44",25,"26,25","14,3","21,6","68,9","33,5",0,"7,24"
13/4/2018 7:34:44,"14,31","24,94","26,25",14,"21,7","70,5","32,6",0,"7,25"
13/4/2018 7:49:53,"14,31","24,81","26,19","14,1","21,7","72,5","33,6",26,"7,25"
13/4/2018 8:5:2,"14,31","24,69","26,19","14,1","21,6","74,4","34,4",599,"7,24"
13/4/2018 8:20:11,"14,44","24,62","26,12","14,3","21,4","74,2","35,7",2255,"7,24"
13/4/2018 8:35:20,"14,5","24,5","26,12","14,5","21,4","74,3","36,2",3904,"7,25"
13/4/2018 8:50:29,"14,5","24,37","26,12","14,4","21,5","74,7","36,1",5296,"7,25"
13/4/2018 9:5:38,"14,63","24,31","26,06","14,4","21,7","75,4","35,2",6724,"7,24"
13/4/2018 9:20:47,15,"24,25","26,06",15,"21,8","71,9","36,5",9932,"7,24"
13/4/2018 9:35:56,"15,5","24,12","26,06","15,6","21,6","67,5","37,9",36329,"7,24"
13/4/2018 9:51:5,"17,62","24,06",26,"16,3","21,5","63,3","37,9",40289,"7,23"
13/4/2018 10:6:14,"18,81","23,94",26,"17,1","21,7","57,2","38,2",52172,"7,23"
13/4/2018 10:21:22,"19,69","23,87","25,94",18,22,"49,9","36,6",54612,"7,23"
13/4/2018 10:36:31,"20,37","23,81","25,94","18,3","22,3","50,2","36,2",54612,"7,23"
13/4/2018 10:51:40,"21,31","23,75","25,87","18,7","22,7","48,7","35,9",54612,"7,23"
13/4/2018 11:6:49,"22,37","23,62","25,87","19,5","23,2",43,"34,1",54612,"7,23"
13/4/2018 11:21:58,"23,94","23,62","25,81","20,2","23,8","40,6","32,9",54612,"7,21"
13/4/2018 11:37:7,"25,44","23,56","25,81","20,7","24,2","38,5","32,1",54612,"7,22"
13/4/2018 11:52:16,"26,94","23,56","25,75",21,"24,7","37,2","31,2",54612,"7,21"
13/4/2018 12:7:25,27,"23,5","25,75",22,"25,2","34,6","30,8",54612,"7,21"
13/4/2018 12:22:34,"27,75","23,5","25,75","21,4","25,4","35,6","29,8",54612,"7,21"
13/4/2018 12:37:43,"28,44","23,5","25,69","22,7","25,7","33,7","29,8",54612,"7,2"
13/4/2018 12:52:52,"29,69","23,56","25,69","22,9",26,"33,2","29,5",54612,"7,19"
13/4/2018 13:8:1,"30,56","23,56","25,62","23,3","26,4","31,8","29,1",54612,"7,2"
13/4/2018 13:23:10,"31,31","23,62","25,56","24,3","26,8","30,4","28,8",54612,"7,19"
13/4/2018 13:38:19,"31,94","23,69","25,56","24,2","27,3","31,3","28,6",54612,"7,2"
13/4/2018 13:53:28,"32,94","23,75","25,56","24,4","27,7","29,3",28,54612,"7,2"
13/4/2018 14:8:37,"33,63","23,81","25,5","25,1",28,"28,1","27,3",54612,"7,19"
13/4/2018 14:23:46,"33,63","23,94","25,5","25,3","28,3","26,4","26,9",54612,"7,18"
13/4/2018 14:38:55,"34,5",24,"25,44","25,3","28,4","27,4","26,5",54612,"7,18"
13/4/2018 14:54:4,"34,56","24,12","25,44","26,2","28,6","24,8","25,7",54612,"7,18"
